test,impl,display_name,keys,value,mean_ms,median_ms,stddev_ms,min_ms,max_ms,runs,success_rate
retrieve,folly,F14FastMap (C++),400000,70.9134165,70.87694873333335,70.9134165,0.3619187822225361,70.107292,71.455708,30,100.0
retrieve,rust,HashMap (rust),400000,68.1050205,68.40763343333334,68.1050205,1.2662144676183873,66.99020800000001,72.70700000000001,30,100.0
retrieve,mstar,M*DICT (C),400000,65.38879150000001,65.61484163333333,65.38879150000001,0.7364265477393334,64.721208,68.385792,30,100.0
retrieve,verstable,Verstable (C),400000,83.073125,83.21041249999999,83.073125,0.6993485809564332,82.33875,86.28475,30,100.0
retrieve,python,dict (python),400000,103.423188,103.40551523333333,103.423188,0.3467688345593251,102.51125000000002,104.19608300000002,30,100.0
retrieve,khash,khash (C),400000,76.91033350000001,76.89218610000002,76.91033350000001,0.3631962604351721,76.013542,77.790958,30,100.0
retrieve,khashl,khashl (C),400000,98.6739795,98.84535553333333,98.6739795,0.9243980603649792,97.77633300000001,102.46220800000002,30,100.0
retrieve,askl,ASKL Map (C),500000,80.96329150000001,81.00957490000002,80.96329150000001,0.35609041652225043,80.49225,81.568458,10,100.0
retrieve,abseil,Abseil (C++),500000,108.5794795,108.70067079999998,108.5794795,0.9864466577335699,107.582458,110.05312500000001,10,100.0
retrieve,folly,F14FastMap (C++),500000,83.70931250000001,83.6845083,83.70931250000001,0.3933025700314512,82.963625,84.23987500000001,10,100.0
retrieve,rust,HashMap (rust),500000,106.75729150000002,107.6321499,106.75729150000002,2.3677734988724213,104.77412500000001,112.69020900000001,10,100.0
retrieve,mstar,M*DICT (C),500000,79.1678335,79.0255125,79.1678335,0.4179708687361524,78.08704100000001,79.409458,10,100.0
retrieve,verstable,Verstable (C),500000,121.512459,122.23497100000003,121.512459,1.6524311073486064,120.54937500000001,124.63383400000001,10,100.0
retrieve,python,dict (python),500000,125.86008300000002,125.88399590000002,125.86008300000002,0.23217239796105998,125.51262500000001,126.20004200000001,10,100.0
retrieve,khash,khash (C),500000,92.581354,92.5728789,92.581354,1.1124568035671194,90.88725000000001,94.84241600000001,10,100.0
retrieve,khashl,khashl (C),500000,118.10547900000002,118.12060830000001,118.10547900000002,0.29825834999471085,117.68454100000001,118.65204200000001,10,100.0
retrieve,askl,ASKL Map (C),600000,96.783438,97.13663565,96.783438,1.1040425148043926,96.020333,100.310416,20,100.0
retrieve,abseil,Abseil (C++),600000,127.34947950000003,128.13004590000003,127.34947950000003,2.1653380261993584,125.7715,133.399875,20,100.0
retrieve,folly,F14FastMap (C++),600000,96.983354,97.25543320000001,96.983354,1.1018298777238265,96.10908300000001,100.840625,20,100.0
retrieve,rust,HashMap (rust),600000,123.87022900000001,124.24188945,123.87022900000001,2.403510961066803,121.413375,131.70950000000002,20,100.0
retrieve,mstar,M*DICT (C),600000,92.7129585,92.72280015000003,92.7129585,0.39739134704168794,92.018625,93.91733400000001,20,100.0
retrieve,verstable,Verstable (C),600000,142.16241699999998,142.77587710000003,142.16241699999998,2.602896265518811,139.918291,152.57825,20,100.0
retrieve,python,dict (python),600000,150.676896,150.7835332,150.676896,1.0767005182843792,149.049958,153.110458,20,100.0
retrieve,khash,khash (C),600000,107.738417,107.72358344999999,107.738417,0.5265899730566833,106.76708300000001,108.67479100000001,20,100.0
retrieve,khashl,khashl (C),600000,139.3716665,139.55989380000003,139.3716665,1.1278147998083707,138.19920800000003,142.600334,20,100.0
retrieve,askl,ASKL Map (C),800000,128.07006250000003,127.90589570000002,128.07006250000003,0.5080572884433977,126.87629100000001,128.52866600000002,10,100.0
retrieve,abseil,Abseil (C++),800000,165.050667,165.9523001,165.050667,3.3974441230383916,162.485917,173.7965,10,100.0
retrieve,folly,F14FastMap (C++),800000,137.9463125,137.8032999,137.9463125,1.582166352443552,135.50120800000002,139.870042,10,100.0
retrieve,rust,HashMap (rust),800000,158.14225000000002,159.39856670000003,158.14225000000002,2.618338460937186,157.507333,165.77650000000003,10,100.0
retrieve,mstar,M*DICT (C),800000,136.673125,137.7362167,136.673125,3.169031018969503,135.77745900000002,146.257291,10,100.0
retrieve,verstable,Verstable (C),800000,186.87358350000002,187.02093340000005,186.87358350000002,2.171504688619195,184.62145800000002,191.10175,10,100.0
retrieve,python,dict (python),800000,204.29562500000003,204.21018759999998,204.29562500000003,0.8118448106463306,202.7125,205.654042,10,100.0
retrieve,khash,khash (C),800000,149.763854,149.84925840000002,149.763854,0.4755423622931766,149.16220800000002,150.615209,10,100.0
retrieve,khashl,khashl (C),800000,222.8563965,224.22317940000002,222.8563965,3.801593283740649,221.05787500000002,233.765625,10,100.0
retrieve,askl,ASKL Map (C),1000000,172.452917,172.79874590000003,172.452917,1.0904772556179672,171.82350000000002,175.532292,10,100.0
retrieve,abseil,Abseil (C++),1000000,253.0460625,253.7069292,253.0460625,1.6997645328139974,251.897125,256.67025,10,100.0
retrieve,folly,F14FastMap (C++),1000000,162.48406300000002,162.22224180000003,162.48406300000002,0.8123725965846763,160.51891600000002,163.049209,10,100.0
retrieve,rust,HashMap (rust),1000000,251.4337915,252.0121039,251.4337915,1.958092261392273,248.84412500000002,254.99966600000002,10,100.0
retrieve,mstar,M*DICT (C),1000000,164.4131875,165.4187625,164.4131875,2.7118917232759348,163.69225,172.73295800000002,10,100.0
retrieve,verstable,Verstable (C),1000000,297.7693745,300.2053498,297.7693745,5.547531859190711,295.161,312.339792,10,100.0
retrieve,python,dict (python),1000000,265.0962705,266.49944569999997,265.0962705,6.731375856470537,259.379709,280.53979200000003,10,100.0
retrieve,khash,khash (C),1000000,192.11587450000002,192.70536650000003,192.11587450000002,1.9436779067477163,191.115291,197.72529200000002,10,100.0
retrieve,khashl,khashl (C),1000000,272.46514600000006,272.4396667,272.46514600000006,4.591123042481406,267.791834,282.107375,10,100.0
update,askl,ASKL Map (C),5000,1.3799585,1.3947158700000004,1.3799585,0.04181061283537707,1.3565,1.6243750000000001,100,100.0
update,abseil,Abseil (C++),5000,7.131562000000001,7.17671956,7.131562000000001,0.22814505290626494,6.910208,8.433291,100,100.0
update,folly,F14FastMap (C++),5000,8.5421875,8.541854190000002,8.5421875,0.09784748211815428,8.302708,8.813457999999999,100,100.0
update,rust,HashMap (rust),5000,1.4490000000000003,1.4606274899999998,1.4490000000000003,0.04485859729080803,1.3911660000000001,1.651792,100,100.0
update,mstar,M*DICT (C),5000,1.4350835000000002,1.44986165,1.4350835000000002,0.051289462111080306,1.3778750000000002,1.5982090000000002,100,100.0
update,verstable,Verstable (C),5000,1.5715625,1.57707671,1.5715625,0.033823163274370835,1.512667,1.704334,100,100.0
update,python,dict (python),5000,11.777375,11.852806659999993,11.777375,0.2588696728081572,11.449625000000001,13.094167,100,100.0
update,khash,khash (C),5000,1.3873330000000001,1.3944250199999997,1.3873330000000001,0.04944910538782438,1.3145000000000002,1.58675,100,100.0
update,khashl,khashl (C),5000,1.5142499999999999,1.5253445800000003,1.5142499999999999,0.05158481671283293,1.456791,1.6890830000000001,100,100.0
update,askl,ASKL Map (C),8000,1.8405415,1.8423908199999999,1.8405415,0.029430680361709805,1.792083,1.9575410000000002,100,100.0
update,abseil,Abseil (C++),8000,7.511771,7.515415760000001,7.511771,0.09746458431802425,7.2995,7.929958000000001,100,100.0
update,folly,F14FastMap (C++),8000,8.984813,8.982720830000002,8.984813,0.14021796667217037,8.72825,9.427875,100,100.0
update,rust,HashMap (rust),8000,1.857146,1.8696058400000002,1.857146,0.04954936522230872,1.7923330000000002,2.020125,100,100.0
update,mstar,M*DICT (C),8000,2.028979,2.0403391999999996,2.028979,0.04866118215380777,1.932959,2.169958,100,100.0
update,verstable,Verstable (C),8000,2.1805000000000003,2.183969570000001,2.1805000000000003,0.037277765247443896,2.1041250000000002,2.3818330000000003,100,100.0
update,python,dict (python),8000,12.437375000000001,12.472985070000005,12.437375000000001,0.20857584097664866,12.170584,13.811875,100,100.0
update,khash,khash (C),8000,1.882604,1.90615336,1.882604,0.09196805771280081,1.793958,2.342625,100,100.0
update,khashl,khashl (C),8000,2.1147915,2.124840889999999,2.1147915,0.04885646305847099,2.033084,2.2509590000000004,100,100.0
update,askl,ASKL Map (C),10000,2.1306455,2.1310666200000004,2.1306455,0.02620013639828016,2.0879590000000006,2.2357500000000003,100,100.0
update,abseil,Abseil (C++),10000,7.801334,7.800525430000001,7.801334,0.16075136093209388,7.530792000000001,8.308667,100,100.0
update,folly,F14FastMap (C++),10000,9.22175,9.219867520000001,9.22175,0.10372486979616767,8.985209000000001,9.471125,100,100.0
update,rust,HashMap (rust),10000,2.041521,2.049493279999999,2.041521,0.04932402514768328,1.966542,2.2070830000000004,100,100.0
update,mstar,M*DICT (C),10000,2.4156250000000004,2.4243641499999997,2.4156250000000004,0.0516738004192178,2.338,2.5677920000000003,100,100.0
update,verstable,Verstable (C),10000,2.4751255000000003,2.4800779000000004,2.4751255000000003,0.04068157914942473,2.393209,2.690167,100,100.0
update,python,dict (python),10000,12.805271,12.813142469999992,12.805271,0.11814230340460843,12.523500000000002,13.078125000000002,100,100.0
update,khash,khash (C),10000,2.1284579999999997,2.14259453,2.1284579999999997,0.05638650534014178,2.047083,2.312541,100,100.0
update,khashl,khashl (C),10000,2.4161255,2.424710799999999,2.4161255,0.0473392076356983,2.343,2.559708,100,100.0
update,askl,ASKL Map (C),20000,3.7078960000000003,3.7019916400000006,3.7078960000000003,0.03346199336123708,3.600833,3.766042,100,100.0
update,abseil,Abseil (C++),20000,9.066438,9.070069939999994,9.066438,0.08976623451716301,8.860083000000001,9.301250000000001,100,100.0
update,folly,F14FastMap (C++),20000,10.5855625,10.57757127,10.5855625,0.11765147673126579,10.193750000000001,10.776541,100,100.0
update,rust,HashMap (rust),20000,3.3181670000000003,3.3296883300000024,3.3181670000000003,0.056857341883539705,3.222959,3.4554590000000003,100,100.0
update,mstar,M*DICT (C),20000,4.027999500000001,4.05143796,4.027999500000001,0.12524608722297495,3.9091250000000004,4.812667,100,100.0
update,verstable,Verstable (C),20000,4.334625,4.33762919,4.334625,0.04570655699345404,4.248334000000001,4.463792000000001,100,100.0
update,python,dict (python),20000,14.986083500000001,14.969542980000005,14.986083500000001,0.15281725683292108,14.441541,15.570250000000001,100,100.0
update,khash,khash (C),20000,4.2792085,4.277220929999999,4.2792085,0.06335726635855898,4.1290830000000005,4.4417919999999995,100,100.0
update,khashl,khashl (C),20000,4.308187500000001,4.3038300499999975,4.308187500000001,0.06860782851249189,4.1148750000000005,4.4267080000000005,100,100.0
update,askl,ASKL Map (C),50000,8.3905625,8.373980040000001,8.3905625,0.06913316891568674,8.200084,8.510458999999999,50,100.0
update,abseil,Abseil (C++),50000,13.0335,13.032798400000004,13.0335,0.09590468281452734,12.831625,13.250709,50,100.0
update,folly,F14FastMap (C++),50000,15.193771000000002,15.293585839999999,15.193771000000002,0.4318289499172411,14.88225,17.053792,50,100.0
update,rust,HashMap (rust),50000,7.057250000000001,7.055666579999998,7.057250000000001,0.09947623734362133,6.869917000000001,7.323708000000001,50,100.0
update,mstar,M*DICT (C),50000,8.714479,8.724268360000002,8.714479,0.09038031479791263,8.525209,8.929875000000001,50,100.0
update,verstable,Verstable (C),50000,9.6893545,9.689366660000003,9.6893545,0.09008747789189596,9.480625000000002,9.916250000000002,50,100.0
update,python,dict (python),50000,21.8755625,21.966039220000003,21.8755625,0.3915442559665244,21.473625,23.790958,50,100.0
update,khash,khash (C),50000,10.890020999999999,10.895906760000003,10.890020999999999,0.16907576606658456,10.608959,11.582083,50,100.0
update,khashl,khashl (C),50000,10.682354000000002,10.681238360000004,10.682354000000002,0.09232515502393855,10.4685,10.870167,50,100.0
update,askl,ASKL Map (C),80000,13.312333500000001,13.298992459999997,13.312333500000001,0.1054561959562338,13.028917000000002,13.59425,50,100.0
update,abseil,Abseil (C++),80000,17.736396000000003,17.74593578,17.736396000000003,0.11811919462798105,17.394208000000003,18.002667,50,100.0
update,folly,F14FastMap (C++),80000,19.0543335,19.06085912,19.0543335,0.20296188419610786,18.333333,19.8615,50,100.0
update,rust,HashMap (rust),80000,11.786874500000001,11.797764939999997,11.786874500000001,0.1544078260637426,11.413208000000001,12.084875,50,100.0
update,mstar,M*DICT (C),80000,12.6917915,12.702262459999996,12.6917915,0.12057767460416281,12.448875000000001,13.034875000000001,50,100.0
update,verstable,Verstable (C),80000,15.583520500000002,15.586092520000001,15.583520500000002,0.06819465396403947,15.442083,15.78125,50,100.0
update,python,dict (python),80000,28.570417,28.555422459999992,28.570417,0.19078909546570214,28.039250000000003,29.017459000000002,50,100.0
update,khash,khash (C),80000,16.1017705,16.12431752,16.1017705,0.13388218100182592,15.785959000000002,16.424167,50,100.0
update,khashl,khashl (C),80000,15.3747085,15.397294220000001,15.3747085,0.2356126562223138,14.938292,16.368417,50,100.0
update,askl,ASKL Map (C),100000,16.545417,16.553397499999996,16.545417,0.20613111783822155,16.241083,17.557959,50,100.0
update,abseil,Abseil (C++),100000,20.504895500000003,20.747483360000004,20.504895500000003,0.7507099236759437,19.902792,23.709583000000002,50,100.0
update,folly,F14FastMap (C++),100000,22.704813000000005,22.66158506000001,22.704813000000005,0.19065181001366377,22.027500000000003,22.94375,50,100.0
update,rust,HashMap (rust),100000,14.236729,14.2351516,14.236729,0.14257017752342618,13.863834,14.630417000000001,50,100.0
update,mstar,M*DICT (C),100000,16.6603545,16.709486800000004,16.6603545,0.24327893307854817,16.327292,18.188208,50,100.0
update,verstable,Verstable (C),100000,19.016667,19.10192504,19.016667,0.38358569961858047,18.450458,20.963041,50,100.0
update,python,dict (python),100000,33.68112500000001,33.73326004,33.68112500000001,0.3615557554972988,33.140458,35.174417,50,100.0
update,khash,khash (C),100000,20.4383125,20.44268084,20.4383125,0.13255799924967174,20.094792,20.695750000000004,50,100.0
update,khashl,khashl (C),100000,21.354354500000003,21.43417008,21.354354500000003,0.346099557841903,20.896292,23.159583,50,100.0
update,askl,ASKL Map (C),200000,32.973375,32.9547875,32.973375,0.5295551716038448,32.284958,35.453042,50,100.0
update,abseil,Abseil (C++),200000,37.4612915,37.52208834000001,37.4612915,0.3561655756965998,36.923875,39.172333,50,100.0
update,folly,F14FastMap (C++),200000,38.3525415,38.44102333999999,38.3525415,0.5000541286526854,37.909375000000004,41.435125000000006,50,100.0
update,rust,HashMap (rust),200000,30.758896,30.821590099999998,30.758896,0.4272225553015882,30.339375,32.807,50,100.0
update,mstar,M*DICT (C),200000,32.9264795,32.9703559,32.9264795,0.340971033793449,32.239208000000005,34.368834,50,100.0
update,verstable,Verstable (C),200000,39.568104500000004,39.74672254,39.568104500000004,1.0380401564205304,39.186917,46.683292,50,100.0
update,python,dict (python),200000,57.58070850000001,57.66852168000001,57.58070850000001,0.5138572917478811,57.180709,60.697208,50,100.0
update,khash,khash (C),200000,35.943250000000006,35.89759505999999,35.943250000000006,0.30865829175394927,35.086625000000005,36.505500000000005,50,100.0
update,khashl,khashl (C),200000,46.652187500000004,46.6387401,46.652187500000004,0.3674173031964237,45.067541000000006,47.411,50,100.0
update,askl,ASKL Map (C),300000,50.2213755,50.15357233333334,50.2213755,0.4087549587926842,49.47604200000001,50.829708000000004,30,100.0
update,abseil,Abseil (C++),300000,59.576146,59.898993100000006,59.576146,1.4357196155471015,58.91979200000001,66.85866700000001,30,100.0
update,folly,F14FastMap (C++),300000,51.56039600000001,51.68447633333335,51.56039600000001,0.5675889213747947,51.043583000000005,53.660250000000005,30,100.0
update,rust,HashMap (rust),300000,52.842625000000005,53.57016663333333,52.842625000000005,2.6609381420279985,52.027,66.895875,30,100.0
update,mstar,M*DICT (C),300000,46.713187500000004,46.8201251,46.713187500000004,0.5495513374058657,46.302041,49.469917,30,100.0
update,verstable,Verstable (C),300000,66.49377050000001,66.35135276666668,66.49377050000001,0.8975689944250252,64.710792,68.72816700000001,30,100.0
update,python,dict (python),300000,80.4846045,80.50542506666667,80.4846045,0.4248886081235487,79.56925000000001,81.825333,30,100.0
update,khash,khash (C),300000,57.114604,57.19433736666667,57.114604,0.4814727246565901,56.67745800000001,59.252750000000006,30,100.0
update,khashl,khashl (C),300000,64.117021,64.14413606666669,64.117021,0.542384623705796,62.69712500000001,65.304791,30,100.0
update,askl,ASKL Map (C),400000,66.17489549999999,66.21276399999999,66.17489549999999,0.438777336340977,65.324375,67.13974999999999,30,100.0
update,abseil,Abseil (C++),400000,74.76108350000001,75.14139313333334,74.76108350000001,1.4899303755996804,74.08166700000001,82.00750000000001,30,100.0
update,folly,F14FastMap (C++),400000,70.8291665,70.94015553333334,70.8291665,0.5515092392249331,69.716042,72.20658300000001,30,100.0
update,rust,HashMap (rust),400000,67.435479,67.90303466666667,67.435479,1.433336107580092,66.226625,72.219375,30,100.0
update,mstar,M*DICT (C),400000,65.00116650000001,65.02176663333333,65.00116650000001,0.30666917156704804,64.21754200000001,65.761,30,100.0
update,verstable,Verstable (C),400000,84.836854,85.08243039999999,84.836854,1.246997337440916,83.604083,89.412625,30,100.0
update,python,dict (python),400000,106.53352050000001,106.96118190000001,106.53352050000001,1.9483508252351558,105.49533400000001,115.57958400000001,30,100.0
update,khash,khash (C),400000,77.579854,77.64396113333335,77.579854,0.45662880826234,76.74908300000001,78.6995,30,100.0
update,khashl,khashl (C),400000,98.96735450000001,99.21715146666668,98.96735450000001,1.1400302304308068,97.70487500000002,103.040208,30,100.0
update,askl,ASKL Map (C),500000,87.1434375,87.52461660000002,87.1434375,1.7712086528892714,85.829125,91.82316700000001,10,100.0
update,abseil,Abseil (C++),500000,109.54750000000001,109.53882070000002,109.54750000000001,1.3557744855278238,108.022167,112.92458300000001,10,100.0
update,folly,F14FastMap (C++),500000,82.91289600000002,83.29994590000001,82.91289600000002,1.1720032684308297,82.078542,85.13725000000001,10,100.0
update,rust,HashMap (rust),500000,107.458125,107.8487167,107.458125,2.2771953035998305,104.35762500000001,112.64550000000001,10,100.0
update,mstar,M*DICT (C),500000,78.61054200000001,78.7502458,78.61054200000001,0.48545321594471835,78.420958,80.063708,10,100.0
update,verstable,Verstable (C),500000,123.04950000000001,123.94352900000003,123.04950000000001,3.4369199488848565,121.12737500000001,132.59479100000001,10,100.0
update,python,dict (python),500000,130.01114600000002,129.9756918,130.01114600000002,0.6932030310331267,128.829209,131.274042,10,100.0
update,khash,khash (C),500000,92.9017915,92.8123916,92.9017915,0.27404231155839187,92.326291,93.153917,10,100.0
update,khashl,khashl (C),500000,118.870333,118.58858330000002,118.870333,0.5717058048342012,117.757625,119.325416,10,100.0
update,askl,ASKL Map (C),600000,102.5697705,102.52459585,102.5697705,0.43828182721758596,101.642459,103.289375,20,100.0
update,abseil,Abseil (C++),600000,127.9442915,128.2842937,127.9442915,1.3839584531746174,126.637625,132.789083,20,100.0
update,folly,F14FastMap (C++),600000,95.695792,96.0406876,95.695792,1.0648021622710944,95.145875,99.468209,20,100.0
update,rust,HashMap (rust),600000,123.574042,123.5662438,123.574042,2.1829909456719814,120.042334,128.81125000000003,20,100.0
update,mstar,M*DICT (C),600000,92.479021,92.55646874999998,92.479021,0.8026559037294071,91.64900000000002,94.38525,20,100.0
update,verstable,Verstable (C),600000,144.60847900000002,144.71129995,144.60847900000002,1.467953639360751,142.048959,146.79225000000002,20,100.0
update,python,dict (python),600000,154.16993750000003,154.4223249,154.16993750000003,1.3341795841062756,153.243875,159.77650000000003,20,100.0
update,khash,khash (C),600000,107.7095005,107.8852834,107.7095005,0.9990884429170186,106.80283400000002,111.457791,20,100.0
update,khashl,khashl (C),600000,139.4943335,139.81446250000002,139.4943335,1.4936607103625226,138.553125,145.67220799999998,20,100.0
update,askl,ASKL Map (C),800000,135.500313,135.5047125,135.500313,0.5616022032198522,134.569333,136.44483300000002,10,100.0
update,abseil,Abseil (C++),800000,166.4707085,169.34900840000003,166.4707085,9.676368615562652,165.431542,196.81541700000002,10,100.0
update,folly,F14FastMap (C++),800000,140.31172899999999,140.3513709,140.31172899999999,0.8902842993720184,138.585917,141.764417,10,100.0
update,rust,HashMap (rust),800000,156.95468750000003,157.30176240000003,156.95468750000003,2.052732379640212,154.77295800000002,161.92712500000002,10,100.0
update,mstar,M*DICT (C),800000,136.2430625,136.08246240000003,136.2430625,1.010398459497836,134.84316600000002,138.120083,10,100.0
update,verstable,Verstable (C),800000,192.370729,192.68216669999998,192.370729,1.9971957811207863,190.2655,197.749334,10,100.0
update,python,dict (python),800000,211.33675000000002,212.30280430000008,211.33675000000002,2.9192074306613907,210.65291700000003,220.404625,10,100.0
update,khash,khash (C),800000,151.19543750000003,151.19162079999998,151.19543750000003,0.6882695322534597,150.19795800000003,152.235209,10,100.0
update,khashl,khashl (C),800000,221.29135399999998,222.7591707,221.29135399999998,5.509347572097914,219.114458,237.92620800000003,10,100.0
update,askl,ASKL Map (C),1000000,182.8955625,183.08317500000004,182.8955625,1.207655977927854,181.51908400000002,186.175208,10,100.0
update,abseil,Abseil (C++),1000000,255.81947900000003,255.0385583,255.81947900000003,2.8701391659055258,249.661875,259.71325,10,100.0
update,folly,F14FastMap (C++),1000000,166.84397900000002,166.9636582,166.84397900000002,0.4959062312961972,166.31679200000002,167.844042,10,100.0
update,rust,HashMap (rust),1000000,251.627167,252.29954990000004,251.627167,2.5860799730579522,249.35054200000002,257.263042,10,100.0
update,mstar,M*DICT (C),1000000,164.84970900000002,165.37934599999997,164.84970900000002,2.2083785857549687,163.26825,170.69220900000002,10,100.0
update,verstable,Verstable (C),1000000,301.03029200000003,301.56904579999997,301.03029200000003,3.905882348178581,297.13358300000004,308.441458,10,100.0
update,python,dict (python),1000000,266.860521,268.99456680000003,266.860521,4.605355629365441,265.45241699999997,278.496958,10,100.0
update,khash,khash (C),1000000,192.885042,193.37741270000004,192.885042,2.1229878064988723,191.33170800000002,199.00875000000002,10,100.0
update,khashl,khashl (C),1000000,274.93297900000005,275.26241650000003,274.93297900000005,3.9024567287178997,270.343583,282.463292,10,100.0
